no,ft
1,14.54
2,27.5
3,45.42
4,66.88
5,87.38
6,102.92
7,113.66
8,122.01
9,128.38
10,131.7
11,132.73
12,130.83
13,128.08
14,124.24
15,120.18
16,116.3
17,112.38
18,109.15
19,106.84
20,105.2
21,103.97
22,102.78
23,101.36
24,99.66
25,97.9
26,96.3
27,94.86
28,93.72
29,93.02
30,92.74
31,92.78
32,92.84
33,92.78
34,92.6
35,92.43
36,92.5
37,92.76
38,93.28
39,94.0
40,94.8
41,95.53
42,96.08
43,96.57
44,97.22
45,98.12
46,99.16
47,100.1
48,100.78
49,101.1
50,100.98
51,100.46
52,99.7
53,98.88
54,98.08
55,97.38
56,96.57
57,95.68
58,94.6
59,93.2
60,91.54
61,89.75
62,88.08
63,86.61
64,85.38
65,84.26
66,83.22
67,82.16
68,81.04
69,79.77
70,78.35
71,76.94
72,75.7
73,74.72
74,73.94
75,73.28
76,72.73
77,72.28
78,71.85
79,71.33
80,70.62
81,69.8
82,68.97
83,68.24
84,67.66
85,67.28
86,67.03
87,66.9
88,66.8
89,66.78
90,66.82
91,66.85
92,66.94
93,67.04
94,67.1
95,67.07
96,66.84
97,66.64
98,66.5
99,66.4
100,66.35
101,66.2
102,65.84
103,65.26
104,64.57
105,64.03
106,63.76
107,63.64
108,63.6
109,63.54
110,63.47
111,63.34
112,63.13
113,62.78
114,62.4
115,62.1
116,61.94
117,61.92
118,61.85
119,61.59
120,61.14
121,60.5
122,59.86
123,59.31
124,58.81
125,58.37
126,57.94
127,57.46
128,56.9
129,56.22
130,55.53
131,54.85
132,54.26
133,53.7
134,53.1
135,52.43
136,51.72
137,51.08
138,50.54
139,50.24
140,50.14
141,50.22
142,50.3
143,50.26
144,50.1
145,49.82
146,49.6
147,49.54
148,49.68
149,49.91
150,50.08
151,50.16
152,50.14
153,50.08
154,50.0
155,49.91
156,49.86
157,49.94
158,50.04
159,50.09
160,50.03
161,49.76
162,49.47
163,49.34
164,49.59
165,50.26
166,51.0
167,51.55
168,51.76
169,51.68
170,51.48
171,51.35
172,51.34
173,51.53
174,51.84
175,52.31
176,52.85
177,53.46
178,54.12
179,54.84
180,55.55
181,56.17
182,56.7
183,57.12
184,57.46
185,57.71
186,57.94
187,58.25
188,58.69
189,59.2
190,59.8
191,60.4
192,61.01
193,61.52
194,61.89
195,62.16
196,62.44
197,62.79
198,63.3
199,64.0
200,64.82
201,65.59
202,66.15
203,66.54
204,66.87
205,67.26
206,67.81
207,68.48
208,69.2
209,69.88
210,70.33
211,70.54
212,70.59
213,70.54
214,70.46
215,70.34
216,70.17
217,69.98
218,69.79
219,69.62
220,69.6
221,69.58
222,69.52
223,69.33
224,69.06
225,68.79
226,68.68
227,68.87
228,69.2
229,69.53
230,69.66
231,69.58
232,69.38
233,69.09
234,68.75
235,68.37
236,67.94
237,67.47
238,67.11
239,66.93
240,66.9
241,66.88
242,66.71
243,66.37
244,65.91
245,65.4
246,64.82
247,64.31
248,63.75
249,63.24
250,62.87
251,62.7
252,62.73
253,62.85
254,62.88
255,62.68
256,62.26
257,61.74
258,61.36
259,61.22
260,61.32
261,61.61
262,61.96
263,62.29
264,62.61
265,62.88
266,63.08
267,63.22
268,63.26
269,63.22
270,63.1
271,62.92
272,62.78
273,62.77
274,62.9
275,63.2
276,63.54
277,63.75
278,63.81
279,63.78
280,63.72
281,63.76
282,64.09
283,64.69
284,65.45
285,66.08
286,66.43
287,66.48
288,66.43
289,66.44
290,66.63
291,67.0
292,67.5
293,68.0
294,68.4
295,68.68
296,68.85
297,69.02
298,69.1
299,69.13
300,69.16
301,69.27
302,69.47
303,69.85
304,70.37
305,70.9
306,71.42
307,71.93
308,72.47
309,73.03
310,73.63
311,74.24
312,74.95
313,75.68
314,76.38
315,76.98
316,77.4
317,77.56
318,77.64
319,77.77
320,78.06
321,78.44
322,78.81
323,79.16
324,79.51
325,79.92
326,80.44
327,80.98
328,81.41
329,81.6
330,81.6
331,81.58
332,81.57
333,81.71
334,81.91
335,82.1
336,82.24
337,82.34
338,82.4
339,82.31
340,82.08
341,81.71
342,81.35
343,81.05
344,80.88
345,80.79
346,80.78
347,80.74
348,80.68
349,80.52
350,80.2
351,79.78
352,79.17
353,78.46
354,77.68
355,76.97
356,76.34
357,75.84
358,75.32
359,74.75
360,74.06
361,73.32
362,72.6
363,71.92
364,71.27
365,70.57
366,69.76
367,68.82
368,67.72
369,66.56
370,65.35
371,64.15
372,63.08
373,62.21
374,61.48
375,60.85
376,60.33
377,59.89
378,59.56
379,59.28
380,58.88
381,58.35
382,57.74
383,57.15
384,56.71
385,56.4
386,56.12
387,55.82
388,55.38
389,54.86
390,54.36
391,53.92
392,53.63
393,53.44
394,53.18
395,52.72
396,52.12
397,51.5
398,51.06
399,50.92
400,51.0
401,51.12
402,51.08
403,50.88
404,50.55
405,50.2
406,49.83
407,49.54
408,49.29
409,49.12
410,49.15
411,49.4
412,49.82
413,50.21
414,50.42
415,50.38
416,50.1
417,49.74
418,49.46
419,49.32
420,49.3
421,49.32
422,49.26
423,49.11
424,48.92
425,48.67
426,48.44
427,48.24
428,48.05
429,47.96
430,47.92
431,47.9
432,47.96
433,48.16
434,48.52
435,49.0
436,49.44
437,49.74
438,49.98
439,50.22
440,50.53
441,50.96
442,51.28
443,51.33
444,51.18
445,51.04
446,51.08
447,51.37
448,51.74
449,51.96
450,52.06
451,52.0
452,51.98
453,52.18
454,52.5
455,52.88
456,53.11
457,53.14
458,53.0
459,52.8
460,52.58
461,52.32
462,51.82
463,51.17
464,50.56
465,50.08
466,49.71
467,49.36
468,49.13
469,49.0
470,48.84
471,48.6
472,48.24
473,47.62
474,46.91
475,46.22
476,45.63
477,45.04
478,44.35
479,43.6
480,42.9
