no,ft
289,72.58
290,72.84
291,73.06
292,73.3
293,73.54
294,73.81
295,74.1
296,74.41
297,74.84
298,75.48
299,76.26
300,77.14
301,78.0
302,78.72
303,79.33
304,79.88
305,80.42
306,81.08
307,81.82
308,82.55
309,83.12
310,83.48
311,83.68
312,83.91
313,84.13
314,84.32
315,84.42
316,84.52
317,84.74
318,85.16
319,85.66
320,86.12
321,86.54
322,86.81
323,87.02
324,87.16
325,87.23
326,87.31
327,87.44
328,87.7
329,88.22
330,88.87
331,89.64
332,90.44
333,91.18
334,91.78
335,92.09
336,92.08
337,91.78
338,91.26
339,90.57
340,89.8
341,89.08
342,88.48
343,87.96
344,87.53
345,87.24
346,87.03
347,86.92
348,86.81
349,86.76
350,86.68
351,86.47
352,85.96
353,85.02
354,83.73
355,82.26
356,80.84
357,79.58
358,78.69
359,78.14
360,77.77
361,77.46
362,77.13
363,76.68
364,76.04
365,75.25
366,74.28
367,73.19
368,71.98
369,70.71
370,69.37
371,67.92
372,66.43
373,65.0
374,63.72
375,62.65
376,61.73
377,60.88
378,60.1
379,59.4
380,58.79
381,58.2
382,57.54
383,56.8
384,56.09
385,55.4
386,54.74
387,54.15
388,53.64
389,53.25
390,53.04
391,52.9
392,52.78
393,52.65
394,52.51
395,52.37
396,52.19
397,51.92
398,51.6
399,51.2
400,50.8
401,50.54
402,50.48
403,50.64
404,50.96
405,51.5
406,52.1
407,52.66
408,53.02
409,53.2
410,53.34
411,53.6
412,54.0
413,54.5
414,54.96
415,55.29
416,55.51
417,55.66
418,55.76
419,55.79
420,55.86
421,55.92
422,56.07
423,56.27
424,56.4
425,56.38
426,56.1
427,55.58
428,54.94
429,54.24
430,53.52
431,52.93
432,52.6
433,52.62
434,53.05
435,53.68
436,54.36
437,54.97
438,55.5
439,56.04
440,56.72
441,57.44
442,58.11
443,58.73
444,59.29
445,59.92
446,60.54
447,61.06
448,61.28
449,61.06
450,60.32
451,59.34
452,58.48
453,57.97
454,57.78
455,57.74
456,57.7
457,57.47
458,56.98
459,56.24
460,55.51
461,54.86
462,54.34
463,53.96
464,53.59
465,53.26
466,52.92
467,52.48
468,51.87
469,51.11
470,50.28
471,49.62
472,49.12
473,48.76
474,48.42
475,48.02
476,47.48
477,46.72
478,45.65
479,44.52
480,43.6
