no,ft
1,104.76
2,108.05
3,108.28
4,106.76
5,104.38
6,102.03
7,100.24
8,99.08
9,98.29
10,97.87
11,97.88
12,98.5
13,99.66
14,101.14
15,102.39
16,102.93
17,102.81
18,102.34
19,101.96
20,101.88
21,102.09
22,102.5
23,102.83
24,102.72
25,102.06
26,101.12
27,100.16
28,99.44
29,99.14
30,99.18
31,99.41
32,99.59
33,99.84
34,100.18
35,100.66
36,101.38
37,102.36
38,103.52
39,104.72
40,105.83
41,106.92
42,108.1
43,109.49
44,111.09
45,112.72
46,114.13
47,115.3
48,115.94
49,116.06
50,115.83
51,115.32
52,114.65
53,113.94
54,113.25
55,112.6
56,111.84
57,110.8
58,109.6
59,108.32
60,107.12
61,106.15
62,105.3
63,104.5
64,103.64
65,102.58
66,101.36
67,100.0
68,98.72
69,97.68
70,96.84
71,96.12
72,95.52
73,95.08
74,94.67
75,94.04
76,93.09
77,91.87
78,90.64
79,89.59
80,88.74
81,88.02
82,87.31
83,86.62
84,85.93
85,85.32
86,84.76
87,84.26
88,83.76
89,83.26
90,82.76
91,82.24
92,81.76
93,81.36
94,81.0
95,80.6
96,80.14
97,79.66
98,79.18
99,78.72
100,78.21
101,77.65
102,77.04
103,76.38
104,75.7
105,75.02
106,74.41
107,73.96
108,73.67
109,73.56
110,73.5
111,73.37
112,73.13
113,72.82
114,72.41
115,71.82
116,70.99
117,70.0
118,69.0
119,68.16
120,67.6
121,67.31
122,67.12
123,66.87
124,66.44
125,65.86
126,65.18
127,64.44
128,63.72
129,63.06
130,62.48
131,61.99
132,61.56
133,61.12
134,60.68
135,60.25
136,59.84
137,59.48
138,59.1
139,58.74
140,58.36
141,57.93
142,57.44
143,56.88
144,56.22
145,55.56
146,54.96
147,54.46
148,54.13
149,54.01
150,54.04
151,54.2
152,54.32
153,54.42
154,54.48
155,54.5
156,54.52
157,54.46
158,54.36
159,54.18
160,53.9
161,53.56
162,53.2
163,52.84
164,52.46
165,52.12
166,51.85
167,51.69
168,51.69
169,51.84
170,52.06
171,52.2
172,52.22
173,52.14
174,52.06
175,52.07
176,52.24
177,52.56
178,52.97
179,53.42
180,53.88
181,54.29
182,54.68
183,55.15
184,55.66
185,56.1
186,56.4
187,56.64
188,56.82
189,57.04
190,57.3
191,57.54
192,57.79
193,58.16
194,58.73
195,59.54
196,60.52
197,61.54
198,62.53
199,63.46
200,64.3
201,65.14
202,65.94
203,66.61
204,67.1
205,67.33
206,67.44
207,67.61
208,68.02
209,68.66
210,69.38
211,69.9
212,70.16
213,70.26
214,70.32
215,70.48
216,70.74
217,70.98
218,71.16
219,71.32
220,71.42
221,71.51
222,71.65
223,71.83
224,72.03
225,72.24
226,72.44
227,72.57
228,72.62
229,72.56
230,72.35
231,72.08
232,71.82
233,71.65
234,71.58
235,71.54
236,71.54
237,71.48
238,71.28
239,70.9
240,70.43
241,69.99
242,69.67
243,69.52
244,69.47
245,69.46
246,69.44
247,69.39
248,69.3
249,69.11
250,68.82
251,68.46
252,68.1
253,67.75
254,67.44
255,67.15
256,66.82
257,66.46
258,66.15
259,65.96
260,65.85
261,65.76
262,65.59
263,65.28
264,64.91
265,64.64
266,64.55
267,64.62
268,64.81
269,65.08
270,65.38
271,65.76
272,66.18
273,66.67
274,67.16
275,67.62
276,68.08
277,68.47
278,68.76
279,68.95
280,69.06
281,69.13
282,69.26
283,69.52
284,69.92
285,70.48
286,71.11
287,71.74
288,72.22
