no,ft
1,0.0
2,0.0
3,0.2
4,0.54
5,1.12
6,1.82
7,2.55
8,3.92
9,7.16
10,13.88
11,25.04
12,39.28
13,53.58
14,64.98
15,72.22
16,76.13
17,77.88
18,78.28
19,77.66
20,76.7
21,76.19
22,76.57
23,77.61
24,78.78
25,79.73
26,80.54
27,81.43
28,82.52
29,83.88
30,85.34
31,86.81
32,88.17
33,89.18
34,89.88
35,90.18
36,90.21
37,90.14
38,90.04
39,89.9
40,89.69
41,89.38
42,89.21
43,89.42
44,90.04
45,90.98
46,91.96
47,92.91
48,93.82
49,94.6
50,95.2
51,95.54
52,95.57
53,95.3
54,94.79
55,94.1
56,93.26
57,92.32
58,91.36
59,90.46
60,89.58
61,88.67
62,87.66
63,86.56
64,85.34
65,84.05
66,82.78
67,81.63
68,80.64
69,79.78
70,79.04
71,78.29
72,77.43
73,76.37
74,75.19
75,73.85
76,72.53
77,71.18
78,69.84
79,68.52
80,67.2
81,66.0
82,64.87
83,63.84
84,63.05
85,62.54
86,62.29
87,62.16
88,61.93
89,61.59
90,61.14
91,60.68
92,60.22
93,59.72
94,59.2
95,58.66
96,58.1
97,57.6
98,57.08
99,56.46
100,55.8
101,55.2
102,54.8
103,54.5
104,54.24
105,53.9
106,53.58
107,53.28
108,53.04
109,52.85
110,52.7
111,52.54
112,52.42
113,52.34
114,52.29
115,52.26
116,52.13
117,51.89
118,51.5
119,51.02
120,50.62
121,50.34
122,50.18
123,50.09
124,50.03
125,50.02
126,50.08
127,50.26
128,50.53
129,50.74
130,50.79
131,50.6
132,50.22
133,49.76
134,49.34
135,48.99
136,48.71
137,48.42
138,48.0
139,47.49
140,47.01
141,46.7
142,46.59
143,46.62
144,46.66
145,46.65
146,46.56
147,46.45
148,46.28
149,45.98
150,45.52
151,45.0
152,44.52
153,44.08
154,43.66
155,43.25
156,42.87
157,42.56
158,42.36
159,42.2
160,41.96
161,41.6
162,41.16
163,40.72
164,40.46
165,40.4
166,40.56
167,40.86
168,41.13
169,41.3
170,41.36
171,41.42
172,41.62
173,41.96
174,42.34
175,42.67
176,42.94
177,43.14
178,43.34
179,43.58
180,43.84
181,44.08
182,44.28
183,44.44
184,44.55
185,44.54
186,44.42
187,44.24
188,44.05
189,43.9
190,43.78
191,43.69
192,43.7
193,43.89
194,44.26
195,44.87
196,45.6
197,46.28
198,46.72
199,46.92
200,47.06
201,47.33
202,47.73
203,48.22
204,48.72
205,49.1
206,49.44
207,49.78
208,50.16
209,50.52
210,50.83
211,51.24
212,51.78
213,52.4
214,53.09
215,53.72
216,54.14
217,54.29
218,54.28
219,54.24
220,54.32
221,54.47
222,54.78
223,55.26
224,55.76
225,56.22
226,56.56
227,56.72
228,56.72
229,56.62
230,56.41
231,56.2
232,55.94
233,55.68
234,55.53
235,55.5
236,55.56
237,55.58
238,55.42
239,55.11
240,54.74
241,54.38
242,54.2
243,54.16
244,54.19
245,54.26
246,54.34
247,54.36
