no,ft
248,54.34
249,54.3
250,54.25
251,54.17
252,54.06
253,54.04
254,54.1
255,54.24
256,54.41
257,54.58
258,54.7
259,54.76
260,54.79
261,54.88
262,55.12
263,55.46
264,55.8
265,56.12
266,56.46
267,56.87
268,57.36
269,57.8
270,58.06
271,58.06
272,57.99
273,58.02
274,58.26
275,58.59
276,58.96
277,59.24
278,59.4
279,59.42
280,59.34
281,59.2
282,59.07
283,59.04
284,59.08
285,59.28
286,59.55
287,59.77
288,59.96
289,60.2
290,60.58
291,61.2
292,61.94
293,62.74
294,63.52
295,64.19
296,64.66
297,64.97
298,65.12
299,65.23
300,65.32
301,65.46
302,65.6
303,65.82
304,66.1
305,66.5
306,67.02
307,67.66
308,68.41
309,69.15
310,69.9
311,70.6
312,71.12
313,71.34
314,71.34
315,71.32
316,71.46
317,71.81
318,72.39
319,73.17
320,74.01
321,75.04
322,76.28
323,77.67
324,79.04
325,80.22
326,81.04
327,81.55
328,81.74
329,81.84
330,82.08
331,82.66
332,83.51
333,84.53
334,85.57
335,86.45
336,87.06
337,87.22
338,87.1
339,86.79
340,86.46
341,86.14
342,85.87
343,85.62
344,85.41
345,85.3
346,85.4
347,85.74
348,86.08
349,86.26
350,86.12
351,85.74
352,85.19
353,84.36
354,83.24
355,81.86
356,80.4
357,79.04
358,77.96
359,77.17
360,76.6
361,76.05
362,75.4
363,74.59
364,73.56
365,72.2
366,70.52
367,68.7
368,67.01
369,65.59
370,64.49
371,63.52
372,62.58
373,61.53
374,60.32
375,59.0
376,57.66
377,56.4
378,55.3
379,54.39
380,53.56
381,52.78
382,52.01
383,51.22
384,50.44
385,49.7
386,48.93
387,48.2
388,47.6
389,47.04
390,46.48
391,45.81
392,45.08
393,44.4
394,43.72
395,43.1
396,42.49
397,41.88
398,41.26
399,40.62
400,39.94
401,39.31
402,38.81
403,38.48
404,38.3
405,38.25
406,38.25
407,38.2
408,38.02
409,37.73
410,37.41
411,37.09
412,36.84
413,36.74
414,36.82
415,37.01
416,37.21
417,37.33
418,37.31
419,37.2
420,37.16
421,37.29
422,37.51
423,37.68
424,37.85
425,38.12
426,38.45
427,38.67
428,38.62
429,38.22
430,37.53
431,36.78
432,36.02
433,35.29
434,34.54
435,33.78
436,33.12
437,32.53
438,32.02
439,31.61
440,31.22
441,30.86
442,30.49
443,30.1
444,29.62
445,29.1
446,28.56
447,28.04
448,27.5
449,26.99
450,26.6
451,26.2
452,25.58
453,24.72
454,23.79
455,23.01
456,22.58
457,22.5
458,22.58
459,22.5
460,22.14
461,21.52
462,20.92
463,20.54
464,20.36
465,20.28
466,20.27
467,20.38
468,20.44
469,20.33
470,20.02
471,19.55
472,19.02
473,18.58
474,18.34
475,18.14
476,17.7
477,16.98
478,16.1
479,15.22
480,14.46
