no,ft
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.1
7,0.78
8,2.54
9,6.55
10,13.31
11,22.86
12,34.08
13,45.3
14,54.97
15,62.22
16,66.98
17,69.68
18,71.06
19,71.63
20,72.39
21,73.84
22,76.09
23,78.73
24,81.48
25,84.04
26,85.89
27,86.92
28,87.26
29,87.38
30,87.68
31,88.13
32,88.71
33,89.35
34,90.12
35,91.24
36,92.58
37,94.18
38,96.03
39,97.84
40,99.4
41,100.58
42,101.26
43,101.55
44,101.86
45,102.63
46,104.06
47,105.56
48,106.65
49,106.84
50,106.0
51,104.38
52,102.18
53,99.86
54,97.72
55,95.94
56,94.46
57,93.14
58,92.0
59,91.0
60,90.15
61,89.42
62,88.78
63,88.01
64,87.08
65,86.06
66,85.1
67,84.25
68,83.48
69,82.72
70,81.9
71,80.87
72,79.52
73,77.8
74,75.83
75,73.89
76,72.28
77,71.12
78,70.28
79,69.48
80,68.34
81,66.79
82,65.15
83,63.7
84,62.72
85,62.0
86,61.38
87,60.48
88,59.2
89,57.62
90,56.12
91,54.86
92,53.78
93,52.91
94,52.18
95,51.74
96,51.57
97,51.58
98,51.74
99,51.84
100,51.81
101,51.6
102,51.28
103,50.82
104,50.2
105,49.52
106,48.9
107,48.42
108,47.88
109,47.36
110,46.82
111,46.38
112,46.04
113,45.84
114,45.76
115,45.66
116,45.53
117,45.24
118,44.94
119,44.72
120,44.62
121,44.7
122,44.94
123,45.29
124,45.68
125,46.02
126,46.28
127,46.42
128,46.34
129,46.01
130,45.51
131,44.96
132,44.46
133,44.2
134,44.25
135,44.56
136,44.92
137,45.13
138,45.12
139,44.98
140,44.81
141,44.66
142,44.46
143,44.14
144,43.68
145,43.12
146,42.55
147,42.04
148,41.64
149,41.38
150,41.33
151,41.52
152,41.8
153,41.98
154,41.98
155,41.85
156,41.66
157,41.48
158,41.36
159,41.2
160,41.01
161,40.79
162,40.6
163,40.4
164,40.15
165,39.9
166,39.7
167,39.54
168,39.39
169,39.29
170,39.25
171,39.25
172,39.22
173,39.05
174,38.78
175,38.45
176,38.2
177,38.02
178,37.93
179,37.83
180,37.63
181,37.33
182,37.0
183,36.76
184,36.66
185,36.8
186,37.14
187,37.6
188,38.08
189,38.44
190,38.69
191,38.94
192,39.44
193,40.12
194,40.82
195,41.32
196,41.72
197,42.02
198,42.33
199,42.56
200,42.65
201,42.7
202,42.8
203,43.06
204,43.39
205,43.7
206,44.04
207,44.56
208,45.3
209,46.11
210,46.69
211,46.96
212,47.13
213,47.47
214,48.03
215,48.56
216,48.88
217,49.0
218,49.01
219,49.0
220,49.08
221,49.32
222,49.76
223,50.26
224,50.6
225,50.58
226,50.24
227,49.74
228,49.26
229,48.89
230,48.67
231,48.62
232,48.78
233,49.1
234,49.46
235,49.76
236,49.98
237,50.22
238,50.51
239,50.68
240,50.73
241,50.56
242,50.34
243,50.16
244,50.1
245,50.11
246,50.22
247,50.35
