no,ft
248,50.45
249,50.49
250,50.46
251,50.42
252,50.42
253,50.42
254,50.42
255,50.43
256,50.41
257,50.4
258,50.42
259,50.42
260,50.3
261,50.02
262,49.6
263,49.1
264,48.58
265,48.07
266,47.63
267,47.34
268,47.2
269,47.26
270,47.4
271,47.55
272,47.76
273,48.05
274,48.36
275,48.6
276,48.66
277,48.48
278,48.14
279,47.84
280,47.68
281,47.64
282,47.64
283,47.69
284,47.71
285,47.74
286,47.7
287,47.69
288,47.8
289,48.04
290,48.38
291,48.76
292,49.14
293,49.58
294,50.06
295,50.59
296,51.13
297,51.62
298,52.09
299,52.54
300,52.94
301,53.27
302,53.6
303,53.9
304,54.17
305,54.46
306,54.8
307,55.14
308,55.4
309,55.56
310,55.71
311,55.88
312,56.18
313,56.76
314,57.68
315,58.84
316,60.06
317,61.12
318,61.93
319,62.43
320,62.68
321,62.84
322,63.12
323,63.61
324,64.23
325,64.92
326,65.56
327,66.18
328,66.9
329,67.77
330,68.85
331,70.06
332,71.26
333,72.32
334,73.12
335,73.69
336,74.08
337,74.42
338,74.85
339,75.38
340,75.95
341,76.37
342,76.54
343,76.54
344,76.56
345,76.74
346,77.11
347,77.46
348,77.65
349,77.73
350,77.85
351,78.13
352,78.29
353,77.94
354,76.78
355,74.96
356,72.99
357,71.52
358,70.76
359,70.52
360,70.56
361,70.64
362,70.66
363,70.52
364,70.15
365,69.56
366,68.88
367,68.19
368,67.54
369,66.7
370,65.59
371,64.15
372,62.52
373,60.76
374,59.05
375,57.52
376,56.24
377,55.18
378,54.2
379,53.15
380,51.88
381,50.39
382,48.84
383,47.6
384,46.8
385,46.36
386,46.02
387,45.44
388,44.54
389,43.42
390,42.23
391,40.94
392,39.67
393,38.63
394,37.94
395,37.52
396,37.17
397,36.75
398,36.26
399,35.82
400,35.47
401,35.19
402,34.82
403,34.36
404,33.85
405,33.38
406,33.0
407,32.72
408,32.57
409,32.47
410,32.44
411,32.47
412,32.6
413,32.83
414,33.1
415,33.33
416,33.5
417,33.68
418,33.9
419,34.1
420,34.2
421,34.1
422,33.98
423,34.04
424,34.42
425,35.04
426,35.83
427,36.74
428,37.68
429,38.54
430,39.17
431,39.63
432,40.01
433,40.42
434,40.84
435,41.21
436,41.44
437,41.51
438,41.46
439,41.4
440,41.46
441,41.56
442,41.53
443,41.29
444,40.89
445,40.44
446,39.99
447,39.53
448,38.98
449,38.25
450,37.33
451,36.31
452,35.39
453,34.71
454,34.28
455,33.86
456,33.22
457,32.22
458,30.98
459,29.73
460,28.62
461,27.7
462,26.81
463,25.78
464,24.56
465,23.26
466,22.1
467,21.28
468,20.84
469,20.6
470,20.28
471,19.69
472,18.89
473,18.08
474,17.45
475,17.02
476,16.68
477,16.26
478,15.72
479,15.15
480,14.64
